batch,observations,accuracy,f1,recall
2,500,0.668,0.6948529411764706,0.7132075471698113
3,500,0.376,0.3246753246753247,0.7352941176470589
4,500,0.748,0.5909090909090909,0.4642857142857143
5,500,0.616,0.36,0.24545454545454545
6,500,0.814,0.7138461538461538,0.6073298429319371
7,500,0.812,0.8134920634920635,0.7945736434108527
8,500,0.784,0.5,0.40601503759398494
9,500,0.724,0.37272727272727274,0.23295454545454544
10,500,0.818,0.6761565836298933,0.5337078651685393
11,500,0.748,0.6272189349112426,0.5170731707317073
12,500,0.78,0.6978021978021978,0.596244131455399
13,500,0.826,0.7563025210084033,0.6338028169014085
14,500,0.71,0.47653429602888087,0.3173076923076923
15,500,0.624,0.4161490683229814,0.268
16,500,0.726,0.700218818380744,0.5818181818181818
17,500,0.874,0.8795411089866156,0.8778625954198473
18,500,0.85,0.8514851485148515,0.8143939393939394
19,500,0.73,0.7467166979362101,0.8577586206896551
20,500,0.792,0.7911646586345381,0.7490494296577946
21,500,0.838,0.8556149732620321,0.8823529411764706
22,500,0.81,0.7642679900744417,0.7368421052631579
23,500,0.68,0.50920245398773,0.4368421052631579
24,500,0.482,0.0,0.0
25,500,0.626,0.715372907153729,0.9710743801652892
26,500,0.77,0.8086522462562395,0.9529411764705882
27,500,0.8,0.8194945848375451,0.961864406779661
28,500,0.868,0.8786764705882353,0.8984962406015038
29,500,0.79,0.779874213836478,0.8493150684931506
30,500,0.75,0.570446735395189,0.40096618357487923
31,500,0.686,0.5449275362318841,0.46766169154228854
32,500,0.596,0.15126050420168066,0.08181818181818182
33,500,0.768,0.6463414634146342,0.5247524752475248
34,500,0.776,0.4909090909090909,0.34177215189873417
35,500,0.772,0.583941605839416,0.43956043956043955
36,500,0.468,0.6356164383561644,1.0
37,500,0.84,0.7368421052631579,0.6436781609195402
38,500,0.852,0.7873563218390804,0.7569060773480663
39,500,0.528,0.4010152284263959,0.3038461538461538
40,500,0.74,0.7111111111111111,0.6451612903225806
41,500,0.49,0.34108527131782945,0.27615062761506276
42,500,0.572,0.39204545454545453,0.33658536585365856
43,500,0.714,0.5119453924914675,0.6578947368421053
44,500,0.776,0.5371900826446281,0.40625
45,500,0.784,0.5939849624060151,0.4340659340659341
46,500,0.534,0.15272727272727274,0.08571428571428572
47,500,0.694,0.23880597014925373,0.1411764705882353
48,500,0.66,0.4014084507042254,0.252212389380531
49,500,0.81,0.6387832699619772,0.5384615384615384
50,500,0.686,0.5015873015873016,0.3574660633484163
51,500,0.698,0.49498327759197325,0.3288888888888889
52,500,0.736,0.5629139072847682,0.391705069124424
53,500,0.668,0.2169811320754717,0.12169312169312169
54,500,0.684,0.44366197183098594,0.2850678733031674
55,500,0.64,0.47368421052631576,0.36818181818181817
56,500,0.656,0.17307692307692307,0.09473684210526316
57,500,0.642,0.02185792349726776,0.011049723756906077
58,500,0.628,0.1308411214953271,0.07
59,500,0.64,0.08163265306122448,0.0425531914893617
60,500,0.596,0.056074766355140186,0.028846153846153848
61,500,0.632,0.041666666666666664,0.02127659574468085
62,500,0.642,0.11822660098522167,0.06282722513089005
63,500,0.646,0.10152284263959391,0.053475935828877004
64,500,0.574,0.17120622568093385,0.09482758620689655
65,500,0.562,0.043668122270742356,0.022727272727272728
66,500,0.542,0.04979253112033195,0.02553191489361702
67,500,0.574,0.009302325581395349,0.004672897196261682
68,500,0.688,0.16129032258064516,0.08771929824561403
69,500,0.512,0.031746031746031744,0.016129032258064516
70,500,0.654,0.0,0.0
71,500,0.786,0.4397905759162304,0.28187919463087246
72,500,0.862,0.7396226415094339,0.6242038216560509
73,500,0.752,0.4918032786885246,0.35294117647058826
74,500,0.692,0.3185840707964602,0.19889502762430938
75,500,0.824,0.7456647398843931,0.7771084337349398
76,500,0.792,0.6976744186046512,0.6936416184971098
77,500,0.804,0.7677725118483413,0.7168141592920354
78,500,0.812,0.7772511848341233,0.6776859504132231
79,500,0.774,0.788785046728972,0.8210116731517509
80,500,0.838,0.8519195612431444,0.7845117845117845
81,500,0.82,0.8051948051948052,0.7782426778242678
82,500,0.722,0.6876404494382022,0.523972602739726
83,500,0.804,0.8070866141732284,0.7427536231884058
84,500,0.76,0.6491228070175439,0.4826086956521739
85,500,0.818,0.7547169811320755,0.6222222222222222
86,500,0.796,0.7702702702702703,0.7125
87,500,0.81,0.7058823529411765,0.5454545454545454
88,500,0.746,0.328042328042328,0.1962025316455696
89,500,0.702,0.49491525423728816,0.3333333333333333
90,500,0.804,0.69375,0.5414634146341464
91,312,0.7788461538461539,0.7335907335907336,0.5792682926829268
