batch,accuracy,f1,recall,error_rate,drift_detected
2,0.642,0.6324435318275154,0.5811320754716981,0.358,False
3,0.644,0.39864864864864863,0.5784313725490197,0.356,False
4,0.772,0.7164179104477612,0.7346938775510204,0.228,False
5,0.73,0.6153846153846154,0.4909090909090909,0.27,False
6,0.696,0.6082474226804123,0.6178010471204188,0.304,False
7,0.76,0.7692307692307693,0.7751937984496124,0.24,False
8,0.796,0.6076923076923076,0.5939849624060151,0.204,False
9,0.746,0.5134099616858238,0.3806818181818182,0.254,False
10,0.816,0.7142857142857143,0.6460674157303371,0.184,False
11,0.688,0.559322033898305,0.48292682926829267,0.312,False
12,0.752,0.697560975609756,0.6713615023474179,0.248,False
13,0.744,0.6631578947368421,0.5915492957746479,0.256,False
14,0.672,0.49693251533742333,0.3894230769230769,0.328,False
15,0.586,0.4595300261096606,0.352,0.414,False
16,0.636,0.6224066390041494,0.5454545454545454,0.364,False
17,0.82,0.8262548262548263,0.816793893129771,0.18,False
18,0.768,0.7875457875457875,0.8143939393939394,0.232,False
19,0.734,0.7466666666666667,0.8448275862068966,0.266,False
20,0.808,0.816793893129771,0.8136882129277566,0.192,False
21,0.846,0.8627450980392157,0.8897058823529411,0.154,False
22,0.77,0.7558386411889597,0.8516746411483254,0.23,False
23,0.638,0.46920821114369504,0.42105263157894735,0.362,False
24,0.704,0.6681614349775785,0.5752895752895753,0.296,False
25,0.588,0.5813008130081301,0.5909090909090909,0.412,False
26,0.622,0.6103092783505155,0.5803921568627451,0.378,False
27,0.688,0.691699604743083,0.7415254237288136,0.312,False
28,0.782,0.7985212569316081,0.8120300751879699,0.218,False
29,0.734,0.6997742663656885,0.7077625570776256,0.266,False
30,0.774,0.712468193384224,0.6763285024154589,0.226,False
31,0.63,0.5244215938303342,0.5074626865671642,0.37,False
32,0.59,0.4257703081232493,0.34545454545454546,0.41,False
33,0.73,0.6633416458852868,0.6584158415841584,0.27,False
34,0.778,0.6666666666666666,0.7025316455696202,0.222,False
35,0.714,0.6060606060606061,0.6043956043956044,0.286,False
36,0.716,0.6965811965811965,0.7025862068965517,0.284,False
37,0.764,0.694300518134715,0.7701149425287356,0.236,False
38,0.804,0.7562189054726368,0.8397790055248618,0.196,False
39,0.69,0.6469248291571754,0.5461538461538461,0.31,False
40,0.78,0.7817460317460317,0.7943548387096774,0.22,False
41,0.658,0.632258064516129,0.6150627615062761,0.342,False
42,0.682,0.5891472868217055,0.5560975609756098,0.318,False
43,0.592,0.43956043956043955,0.7017543859649122,0.408,False
44,0.7,0.576271186440678,0.6375,0.3,False
45,0.69,0.46735395189003437,0.37362637362637363,0.31,False
46,0.63,0.47592067988668557,0.34285714285714286,0.37,False
47,0.71,0.48398576512455516,0.4,0.29,False
48,0.644,0.518918918918919,0.4247787610619469,0.356,False
49,0.704,0.5771428571428572,0.6474358974358975,0.296,False
50,0.676,0.55,0.4479638009049774,0.324,False
51,0.584,0.2972972972972973,0.19555555555555557,0.416,False
52,0.706,0.6405867970660146,0.6036866359447005,0.294,False
53,0.774,0.6343042071197411,0.5185185185185185,0.226,False
54,0.784,0.7378640776699029,0.6877828054298643,0.216,False
55,0.702,0.6795698924731183,0.7181818181818181,0.298,False
56,0.648,0.5868544600938967,0.6578947368421053,0.352,False
57,0.618,0.5064599483204134,0.5414364640883977,0.382,False
58,0.696,0.5032679738562091,0.385,0.304,False
59,0.74,0.6242774566473989,0.574468085106383,0.26,False
60,0.59,0.5012165450121655,0.4951923076923077,0.41,False
61,0.588,0.4371584699453552,0.425531914893617,0.412,False
62,0.668,0.576530612244898,0.5916230366492147,0.332,False
63,0.612,0.4226190476190476,0.37967914438502676,0.388,False
64,0.59,0.49877750611246946,0.4396551724137931,0.41,False
65,0.636,0.5380710659898477,0.4818181818181818,0.364,False
66,0.742,0.7404426559356136,0.7829787234042553,0.258,False
67,0.644,0.6163793103448276,0.6682242990654206,0.356,False
68,0.65,0.4868035190615836,0.4853801169590643,0.35,False
69,0.636,0.5882352941176471,0.5241935483870968,0.364,True
70,0.63,0.5476772616136919,0.6473988439306358,0.37,False
71,0.654,0.5411140583554377,0.6845637583892618,0.346,False
72,0.734,0.6167146974063401,0.6815286624203821,0.266,False
73,0.668,0.5029940119760479,0.49411764705882355,0.332,False
74,0.656,0.5,0.47513812154696133,0.344,False
75,0.644,0.5527638190954773,0.6626506024096386,0.356,False
76,0.774,0.6798866855524079,0.6936416184971098,0.226,False
77,0.61,0.49612403100775193,0.4247787610619469,0.39,False
78,0.682,0.5994962216624685,0.49173553719008267,0.318,False
79,0.684,0.6638297872340425,0.6070038910505836,0.316,False
80,0.636,0.6208333333333333,0.5016835016835017,0.364,False
81,0.692,0.6467889908256881,0.5899581589958159,0.308,False
82,0.68,0.6707818930041153,0.5582191780821918,0.32,False
83,0.668,0.6719367588932806,0.6159420289855072,0.332,False
84,0.738,0.6873508353221957,0.6260869565217392,0.262,False
85,0.778,0.7459954233409611,0.7244444444444444,0.222,False
86,0.688,0.6842105263157895,0.7041666666666667,0.312,False
87,0.744,0.6751269035532995,0.6363636363636364,0.256,False
88,0.602,0.4425770308123249,0.5,0.398,False
89,0.758,0.7139479905437353,0.6894977168949772,0.242,False
90,0.806,0.7427055702917772,0.6829268292682927,0.194,False
91,0.7724358974358975,0.7625418060200669,0.6951219512195121,0.22756410256410256,False
