batch,accuracy,f1,recall,error_rate,drift_detected
2,0.668,0.6948529411764706,0.7132075471698113,0.332,False
3,0.376,0.3246753246753247,0.7352941176470589,0.624,False
4,0.748,0.5909090909090909,0.4642857142857143,0.252,False
5,0.616,0.36,0.24545454545454545,0.384,False
6,0.814,0.7138461538461538,0.6073298429319371,0.186,False
7,0.812,0.8134920634920635,0.7945736434108527,0.188,False
8,0.784,0.5,0.40601503759398494,0.216,False
9,0.724,0.37272727272727274,0.23295454545454544,0.276,False
10,0.818,0.6761565836298933,0.5337078651685393,0.182,False
11,0.748,0.6272189349112426,0.5170731707317073,0.252,False
12,0.78,0.6978021978021978,0.596244131455399,0.22,False
13,0.826,0.7563025210084033,0.6338028169014085,0.174,False
14,0.71,0.47653429602888087,0.3173076923076923,0.29,False
15,0.624,0.4161490683229814,0.268,0.376,False
16,0.726,0.700218818380744,0.5818181818181818,0.274,False
17,0.874,0.8795411089866156,0.8778625954198473,0.126,False
18,0.85,0.8514851485148515,0.8143939393939394,0.15,False
19,0.73,0.7467166979362101,0.8577586206896551,0.27,False
20,0.792,0.7911646586345381,0.7490494296577946,0.208,False
21,0.838,0.8556149732620321,0.8823529411764706,0.162,False
22,0.81,0.7642679900744417,0.7368421052631579,0.19,False
23,0.68,0.50920245398773,0.4368421052631579,0.32,False
24,0.482,0.0,0.0,0.518,False
25,0.626,0.715372907153729,0.9710743801652892,0.374,False
26,0.77,0.8086522462562395,0.9529411764705882,0.23,False
27,0.8,0.8194945848375451,0.961864406779661,0.2,False
28,0.868,0.8786764705882353,0.8984962406015038,0.132,False
29,0.79,0.779874213836478,0.8493150684931506,0.21,False
30,0.75,0.570446735395189,0.40096618357487923,0.25,False
31,0.686,0.5449275362318841,0.46766169154228854,0.314,False
32,0.596,0.15126050420168066,0.08181818181818182,0.404,False
33,0.768,0.6463414634146342,0.5247524752475248,0.232,False
34,0.776,0.4909090909090909,0.34177215189873417,0.224,False
35,0.772,0.583941605839416,0.43956043956043955,0.228,False
36,0.468,0.6356164383561644,1.0,0.532,False
37,0.84,0.7368421052631579,0.6436781609195402,0.16,False
38,0.852,0.7873563218390804,0.7569060773480663,0.148,False
39,0.528,0.4010152284263959,0.3038461538461538,0.472,False
40,0.74,0.7111111111111111,0.6451612903225806,0.26,False
41,0.49,0.34108527131782945,0.27615062761506276,0.51,False
42,0.572,0.39204545454545453,0.33658536585365856,0.428,False
43,0.714,0.5119453924914675,0.6578947368421053,0.286,False
44,0.776,0.5371900826446281,0.40625,0.224,False
45,0.784,0.5939849624060151,0.4340659340659341,0.216,False
46,0.534,0.15272727272727274,0.08571428571428572,0.466,False
47,0.694,0.23880597014925373,0.1411764705882353,0.306,False
48,0.66,0.4014084507042254,0.252212389380531,0.34,False
49,0.81,0.6387832699619772,0.5384615384615384,0.19,False
50,0.686,0.5015873015873016,0.3574660633484163,0.314,False
51,0.698,0.49498327759197325,0.3288888888888889,0.302,False
52,0.736,0.5629139072847682,0.391705069124424,0.264,False
53,0.668,0.2169811320754717,0.12169312169312169,0.332,False
54,0.684,0.44366197183098594,0.2850678733031674,0.316,False
55,0.64,0.47368421052631576,0.36818181818181817,0.36,False
56,0.656,0.17307692307692307,0.09473684210526316,0.344,False
57,0.642,0.02185792349726776,0.011049723756906077,0.358,False
58,0.628,0.1308411214953271,0.07,0.372,False
59,0.64,0.08163265306122448,0.0425531914893617,0.36,False
60,0.596,0.056074766355140186,0.028846153846153848,0.404,False
61,0.632,0.041666666666666664,0.02127659574468085,0.368,False
62,0.642,0.11822660098522167,0.06282722513089005,0.358,False
63,0.646,0.10152284263959391,0.053475935828877004,0.354,False
64,0.574,0.17120622568093385,0.09482758620689655,0.426,False
65,0.562,0.043668122270742356,0.022727272727272728,0.438,False
66,0.542,0.04979253112033195,0.02553191489361702,0.458,True
67,0.574,0.009302325581395349,0.004672897196261682,0.426,False
68,0.688,0.16129032258064516,0.08771929824561403,0.312,False
69,0.514,0.039525691699604744,0.020161290322580645,0.486,False
70,0.654,0.0,0.0,0.346,False
71,0.794,0.4717948717948718,0.3087248322147651,0.206,False
72,0.868,0.7573529411764706,0.6560509554140127,0.132,False
73,0.748,0.4878048780487805,0.35294117647058826,0.252,False
74,0.694,0.32599118942731276,0.20441988950276244,0.306,False
75,0.82,0.7457627118644068,0.7951807228915663,0.18,False
76,0.808,0.7288135593220338,0.7456647398843931,0.192,False
77,0.802,0.7659574468085106,0.7168141592920354,0.198,False
78,0.82,0.7887323943661971,0.6942148760330579,0.18,False
79,0.79,0.809437386569873,0.867704280155642,0.21,False
80,0.858,0.8725314183123878,0.8181818181818182,0.142,False
81,0.828,0.8154506437768241,0.7949790794979079,0.172,False
82,0.74,0.7136563876651982,0.5547945205479452,0.26,False
83,0.816,0.8223938223938224,0.7717391304347826,0.184,False
84,0.78,0.6875,0.5260869565217391,0.22,False
85,0.82,0.7580645161290323,0.6266666666666667,0.18,False
86,0.808,0.7903930131004366,0.7541666666666667,0.192,False
87,0.82,0.725609756097561,0.569377990430622,0.18,False
88,0.75,0.34554973821989526,0.2088607594936709,0.25,False
89,0.704,0.5033557046979866,0.3424657534246575,0.296,False
90,0.804,0.6993865030674846,0.5560975609756098,0.196,False
91,0.7884615384615384,0.7555555555555555,0.6219512195121951,0.21153846153846154,False
