batch,observations,accuracy,f1,recall,window_size
2,500,0.642,0.6324435318275154,0.5811320754716981,500
3,500,0.644,0.39864864864864863,0.5784313725490197,1000
4,500,0.772,0.7164179104477612,0.7346938775510204,1500
5,500,0.73,0.6153846153846154,0.4909090909090909,2000
6,500,0.696,0.6082474226804123,0.6178010471204188,2000
7,500,0.76,0.7692307692307693,0.7751937984496124,2000
8,500,0.796,0.6076923076923076,0.5939849624060151,2000
9,500,0.746,0.5134099616858238,0.3806818181818182,2000
10,500,0.816,0.7142857142857143,0.6460674157303371,2000
11,500,0.688,0.559322033898305,0.48292682926829267,2000
12,500,0.752,0.697560975609756,0.6713615023474179,2000
13,500,0.744,0.6631578947368421,0.5915492957746479,2000
14,500,0.672,0.49693251533742333,0.3894230769230769,2000
15,500,0.586,0.4595300261096606,0.352,2000
16,500,0.636,0.6224066390041494,0.5454545454545454,2000
17,500,0.82,0.8262548262548263,0.816793893129771,2000
18,500,0.768,0.7875457875457875,0.8143939393939394,2000
19,500,0.734,0.7466666666666667,0.8448275862068966,2000
20,500,0.808,0.816793893129771,0.8136882129277566,2000
21,500,0.846,0.8627450980392157,0.8897058823529411,2000
22,500,0.77,0.7558386411889597,0.8516746411483254,2000
23,500,0.638,0.46920821114369504,0.42105263157894735,2000
24,500,0.704,0.6681614349775785,0.5752895752895753,2000
25,500,0.588,0.5813008130081301,0.5909090909090909,2000
26,500,0.622,0.6103092783505155,0.5803921568627451,2000
27,500,0.688,0.691699604743083,0.7415254237288136,2000
28,500,0.782,0.7985212569316081,0.8120300751879699,2000
29,500,0.734,0.6997742663656885,0.7077625570776256,2000
30,500,0.774,0.712468193384224,0.6763285024154589,2000
31,500,0.63,0.5244215938303342,0.5074626865671642,2000
32,500,0.59,0.4257703081232493,0.34545454545454546,2000
33,500,0.73,0.6633416458852868,0.6584158415841584,2000
34,500,0.778,0.6666666666666666,0.7025316455696202,2000
35,500,0.714,0.6060606060606061,0.6043956043956044,2000
36,500,0.716,0.6965811965811965,0.7025862068965517,2000
37,500,0.764,0.694300518134715,0.7701149425287356,2000
38,500,0.804,0.7562189054726368,0.8397790055248618,2000
39,500,0.69,0.6469248291571754,0.5461538461538461,2000
40,500,0.78,0.7817460317460317,0.7943548387096774,2000
41,500,0.658,0.632258064516129,0.6150627615062761,2000
42,500,0.682,0.5891472868217055,0.5560975609756098,2000
43,500,0.592,0.43956043956043955,0.7017543859649122,2000
44,500,0.7,0.576271186440678,0.6375,2000
45,500,0.69,0.46735395189003437,0.37362637362637363,2000
46,500,0.63,0.47592067988668557,0.34285714285714286,2000
47,500,0.71,0.48398576512455516,0.4,2000
48,500,0.644,0.518918918918919,0.4247787610619469,2000
49,500,0.704,0.5771428571428572,0.6474358974358975,2000
50,500,0.676,0.55,0.4479638009049774,2000
51,500,0.584,0.2972972972972973,0.19555555555555557,2000
52,500,0.706,0.6405867970660146,0.6036866359447005,2000
53,500,0.774,0.6343042071197411,0.5185185185185185,2000
54,500,0.784,0.7378640776699029,0.6877828054298643,2000
55,500,0.702,0.6795698924731183,0.7181818181818181,2000
56,500,0.648,0.5868544600938967,0.6578947368421053,2000
57,500,0.618,0.5064599483204134,0.5414364640883977,2000
58,500,0.696,0.5032679738562091,0.385,2000
59,500,0.74,0.6242774566473989,0.574468085106383,2000
60,500,0.59,0.5012165450121655,0.4951923076923077,2000
61,500,0.588,0.4371584699453552,0.425531914893617,2000
62,500,0.668,0.576530612244898,0.5916230366492147,2000
63,500,0.612,0.4226190476190476,0.37967914438502676,2000
64,500,0.59,0.49877750611246946,0.4396551724137931,2000
65,500,0.636,0.5380710659898477,0.4818181818181818,2000
66,500,0.742,0.7404426559356136,0.7829787234042553,2000
67,500,0.644,0.6163793103448276,0.6682242990654206,2000
68,500,0.65,0.4868035190615836,0.4853801169590643,2000
69,500,0.636,0.5882352941176471,0.5241935483870968,2000
70,500,0.642,0.544529262086514,0.6184971098265896,2000
71,500,0.654,0.5411140583554377,0.6845637583892618,2000
72,500,0.734,0.6167146974063401,0.6815286624203821,2000
73,500,0.668,0.5029940119760479,0.49411764705882355,2000
74,500,0.656,0.5,0.47513812154696133,2000
75,500,0.644,0.5527638190954773,0.6626506024096386,2000
76,500,0.774,0.6798866855524079,0.6936416184971098,2000
77,500,0.61,0.49612403100775193,0.4247787610619469,2000
78,500,0.682,0.5994962216624685,0.49173553719008267,2000
79,500,0.684,0.6638297872340425,0.6070038910505836,2000
80,500,0.636,0.6208333333333333,0.5016835016835017,2000
81,500,0.692,0.6467889908256881,0.5899581589958159,2000
82,500,0.68,0.6707818930041153,0.5582191780821918,2000
83,500,0.668,0.6719367588932806,0.6159420289855072,2000
84,500,0.738,0.6873508353221957,0.6260869565217392,2000
85,500,0.778,0.7459954233409611,0.7244444444444444,2000
86,500,0.688,0.6842105263157895,0.7041666666666667,2000
87,500,0.744,0.6751269035532995,0.6363636363636364,2000
88,500,0.602,0.4425770308123249,0.5,2000
89,500,0.758,0.7139479905437353,0.6894977168949772,2000
90,500,0.806,0.7427055702917772,0.6829268292682927,2000
91,312,0.7724358974358975,0.7625418060200669,0.6951219512195121,2000
